,ssec,wti,ine
2018/7/22,0.01511793,0.018342411,0.018828483
2018/7/23,1.39E-02,1.74E-02,1.66E-02
2018/7/24,1.21E-02,1.67E-02,1.52E-02
2018/7/25,1.37E-02,1.67E-02,1.52E-02
2018/7/26,9.93E-03,1.65E-02,1.74E-02
2018/7/27,9.35E-03,1.58E-02,1.72E-02
2018/7/28,8.04E-03,1.55E-02,1.72E-02
2018/7/29,7.41E-03,1.49E-02,1.70E-02
2018/7/30,7.10E-03,1.50E-02,1.67E-02
2018/7/31,6.93E-03,1.67E-02,1.65E-02
2018/8/1,6.98E-03,1.86E-02,1.70E-02
2018/8/2,1.35E-02,1.83E-02,2.08E-02
2018/8/3,1.62E-02,1.90E-02,1.75E-02
2018/8/4,1.29E-02,1.79E-02,2.29E-02
2018/8/5,1.18E-02,1.70E-02,2.40E-02
2018/8/6,0.011800213,0.016162943,0.02390482
2018/8/7,0.012197864,0.015636898,0.023359295
2018/8/8,1.95E-02,1.50E-02,3.83E-02
2018/8/9,1.54E-02,2.01E-02,2.73E-02
2018/8/10,1.59E-02,1.88E-02,2.47E-02
2018/8/11,1.11E-02,1.86E-02,2.56E-02
2018/8/12,8.64E-03,1.78E-02,2.29E-02
2018/8/13,0.0076156,0.016899369,0.019465236
2018/8/14,7.38E-03,1.61E-02,1.66E-02
2018/8/15,7.06E-03,1.58E-02,1.60E-02
2018/8/16,1.50E-02,1.98E-02,1.53E-02
2018/8/17,0.011447273,0.018787136,0.027283011
2018/8/18,0.012301122,0.017903476,0.02094493
2018/8/19,9.82E-03,1.71E-02,1.85E-02
2018/8/20,8.22E-03,1.63E-02,1.80E-02
2018/8/21,1.01E-02,1.57E-02,1.82E-02
2018/8/22,1.16E-02,1.56E-02,1.64E-02
2018/8/23,9.97E-03,2.04E-02,1.83E-02
2018/8/24,8.42E-03,1.90E-02,1.88E-02
2018/8/25,0.007482847,0.018364076,0.016571999
2018/8/26,8.45E-03,1.76E-02,1.55E-02
2018/8/27,0.011142267,0.01680039,0.015006876
2018/8/28,0.014725248,0.016031291,0.014703824
2018/8/29,1.05E-02,1.55E-02,1.45E-02
2018/8/30,8.57E-03,1.64E-02,1.56E-02
2018/8/31,1.04E-02,1.59E-02,2.12E-02
2018/9/1,8.81E-03,1.54E-02,2.03E-02
2018/9/2,7.91E-03,1.50E-02,1.79E-02
2018/9/3,7.37E-03,1.46E-02,1.58E-02
2018/9/4,7.04E-03,1.44E-02,1.50E-02
2018/9/5,0.009755239,0.014174745,0.014901974
2018/9/6,1.34E-02,1.55E-02,1.48E-02
2018/9/7,1.03E-02,1.57E-02,1.62E-02
2018/9/8,0.00860486,0.015042578,0.015945483
2018/9/9,0.007531441,0.014511378,0.014919011
2018/9/10,8.27E-03,1.41E-02,1.52E-02
2018/9/11,0.010701652,0.013778557,0.017499292
2018/9/12,8.51E-03,1.95E-02,1.87E-02
2018/9/13,7.72E-03,1.93E-02,2.39E-02
2018/9/14,1.02E-02,2.02E-02,1.85E-02
2018/9/15,8.27E-03,1.90E-02,2.03E-02
2018/9/16,7.98E-03,1.79E-02,1.88E-02
2018/9/17,8.86E-03,1.69E-02,1.68E-02
2018/9/18,0.010421397,0.016326503,0.015279944
2018/9/19,1.42E-02,1.62E-02,1.50E-02
2018/9/20,1.25E-02,1.76E-02,1.49E-02
2018/9/21,9.33E-03,1.70E-02,1.71E-02
2018/9/22,1.76E-02,1.63E-02,1.54E-02
2018/9/23,1.62E-02,1.62E-02,1.60E-02
2018/9/24,1.28E-02,1.67E-02,1.89E-02
2018/9/25,9.52E-03,1.80E-02,2.32E-02
2018/9/26,8.73E-03,1.70E-02,2.84E-02
2018/9/27,9.54E-03,1.62E-02,2.15E-02
2018/9/28,8.61E-03,1.59E-02,1.80E-02
2018/9/29,1.01E-02,1.72E-02,1.97E-02
2018/9/30,0.008905534,0.018858168,0.020751514
2018/10/1,7.63E-03,2.08E-02,2.16E-02
